Country,Subtopic,Status,Justification
Ireland,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Ireland,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Ireland,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Ireland,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Ireland,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Ireland,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Ireland,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Israel,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Israel,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Israel,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Israel,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Israel,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Israel,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Israel,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Israel,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Italy,Scope of legislation,No ABS legislation identified,The EU regulation applies to both genetic material and traditional knowledge associated with genetic material. However to date this has not yet been implemented in Italy.
Italy,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Italy,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Italy,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Italy,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Italy,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Italy,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Italy,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Jamaica,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jamaica,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Japan,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Japan,Digital sequence information (DSI),DSI is explicitly excluded,"Japan considers that ""genetic resources"" refers to tangible materials, and as such DSI is not covered by ABS legislation. "
Japan,Access to resources,Access is unrestricted,Access to resources within this territory is explicitly unrestricted.
Japan,Prior informed consent (PIC),Access is unrestricted,"A prior informed consent process is required prior to accessing the requested resource. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Japan,Contractual terms,Access is unrestricted,"Insofar as access to genetic resources is unrestricted in Japan, there were no specified requirements in the available legislation. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Japan,Benefit-sharing,Access is unrestricted,"While the sharing of benefits derived from genetic resources in Japan is encouraged, there were no specified requirements in the available legislation. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Japan,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Japan,Legal sanctions,No penalties specified,There are no specific penalties found in the legislation which describe cases of non-compliance.
Jordan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jordan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Jordan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jordan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jordan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jordan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jordan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Jordan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kazakhstan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kenya,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Kenya,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Kenya,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Kenya,Prior informed consent (PIC),Access is restricted and PIC is required,Applying for an access permit is dependent on having obtained prior consent from the community responsible for the genetic resource sought.
Kenya,Contractual terms,Access is restricted and contract is required,The Regulations stipulated that Material Transfer Agreements are explicitly needed prior to transferring any materials out of Kenya.
Kenya,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"The Regulations establish a need for monetary or non-monetary benefits to be shared, and offers a list of examples. In addition, a fee is incurred upon application for an access permit."
Kenya,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Kenya,Legal sanctions,Fines and criminalization,The Regulations specify imprisonment and monetary fines enforced in cases of non-compliance.
Kiribati,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Kiribati,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Kiribati,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Kiribati,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Kiribati,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession, however no model contracts or guidance has been provided."
Kiribati,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Kiribati,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Kiribati,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Kuwait,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kuwait,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Kuwait,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kuwait,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kuwait,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kuwait,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kuwait,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kuwait,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Kyrgyzstan,Scope of legislation,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Digital sequence information (DSI),DSI is not addressed,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Access to resources,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Prior informed consent (PIC),No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Contractual terms,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Benefit-sharing,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Compliance,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Kyrgyzstan,Legal sanctions,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Lao People's Democratic Republic (Laos; Lao PDR),Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Lao People's Democratic Republic (Laos; Lao PDR),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Lao People's Democratic Republic (Laos; Lao PDR),Access to resources,Access is restricted,Access to the resource within this territory requires the sharing of benefits. 
Lao People's Democratic Republic (Laos; Lao PDR),Prior informed consent (PIC),Access is restricted but PIC is not addressed,"A law covering this was drafted in 2013, however to date there is no evidence that this has been enacted. There are no other mentions of this in the active legislation. "
Lao People's Democratic Republic (Laos; Lao PDR),Contractual terms,Access is restricted but contract requirements not addressed,"A law covering this was drafted in 2013, however to date there is no evidence that this has been enacted. There are no other mentions of this in the active legislation. "
Lao People's Democratic Republic (Laos; Lao PDR),Benefit-sharing,Access is restricted and benefit-sharing is mandated,"The sharing of benefits is required in order to access genetic resources, however no further details are provided."
Lao People's Democratic Republic (Laos; Lao PDR),Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Lao People's Democratic Republic (Laos; Lao PDR),Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. "
Latvia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Latvia,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Latvia,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Latvia,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Latvia,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Latvia,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Latvia,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Latvia,Legal sanctions,Fines and criminalization,"Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. "
Lebanon,Scope of legislation,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lebanon,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Lebanon,Access to resources,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lebanon,Prior informed consent (PIC),No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lebanon,Contractual terms,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lebanon,Benefit-sharing,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lebanon,Compliance,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lebanon,Legal sanctions,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Lesotho,Scope of legislation,No ABS legislation identified,"The provisions to institute regulation measures for ABS are only set to cover genetic resources in the current legislation. However the regulations have yet to be published, as such this is not enforceable."
Lesotho,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Lesotho,Access to resources,No ABS legislation identified,The regulations controlling for this topic are not yet in force.
Lesotho,Prior informed consent (PIC),No ABS legislation identified,The regulations controlling for this topic are not yet in force.
Lesotho,Contractual terms,No ABS legislation identified,The regulations controlling for this topic are not yet in force.
Lesotho,Benefit-sharing,No ABS legislation identified,The regulations controlling for this topic are not yet in force.
Lesotho,Compliance,No ABS legislation identified,The regulations controlling for this topic are not yet in force.
Lesotho,Legal sanctions,No ABS legislation identified,"The current legislation outlines that penalties of imprisonment and monetary fines will be incurred in cases of breach of regulations, however the regulations mentioned have yet to be published."
Liberia,Scope of legislation,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Digital sequence information (DSI),DSI is not addressed,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Access to resources,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Prior informed consent (PIC),No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Contractual terms,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Benefit-sharing,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Compliance,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Liberia,Legal sanctions,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Libya,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Libya,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Libya,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Libya,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Libya,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Libya,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Libya,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Libya,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Scope of legislation,Legislation does not cover microorganisms,"There is legislation restricting access to animals and plants. However this does not extend to microorganisms, or broader genetic resources. "
Liechtenstein,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Liechtenstein,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Lithuania,Scope of legislation,No ABS legislation identified,The EU regulation applies to both genetic material and traditional knowledge associated with genetic material. However to date this has not yet been implemented in Lithuania.
Lithuania,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Lithuania,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Lithuania,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Lithuania,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Lithuania,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Lithuania,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Lithuania,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Luxembourg,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Luxembourg,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Luxembourg,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Luxembourg,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Luxembourg,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Luxembourg,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Luxembourg,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Luxembourg,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Madagascar,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Madagascar,Digital sequence information (DSI),DSI is included,"Madagascar considers ""genetic resources"" to include the concept of DSI, as DSI is directly derived from genetic resources. As such, DSI is subject to ABS regulations under Madagascar law."
Madagascar,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Madagascar,Prior informed consent (PIC),Access is restricted and PIC is required,Prior Consent is required upon application for an access permit.
Madagascar,Contractual terms,Access is restricted but contract requirements not addressed,There are no substantive mentions of this subject in the available legislation
Madagascar,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,"Benefit-Sharing is suggested, however the wording is not legally binding."
Madagascar,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Madagascar,Legal sanctions,Access restrictions,"Non-compliance with ABS law will incur revocation of access, as well as a ban on future access."
Malawi,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Malawi,Digital sequence information (DSI),DSI is included,"An ABS contract is required for the collection and export of ""genetic information or any form of DNA/RNA sequences or sequence data in any format associated with a biological resource"""
Malawi,Access to resources,Access is restricted,"In circumstances including emergencies that threaten or damage human, animal or plant health, the aoplication process can be expedited"
Malawi,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Malawi,Contractual terms,Access is restricted and contract is required,"Known as an ""ABS Contract"" in Malawi, these are a requirement within the scope of the ABS legislation."
Malawi,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Malawi,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Malawi,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions."
Malaysia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Malaysia,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Malaysia,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Malaysia,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Malaysia,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession, however no model contracts or guidance has been provided."
Malaysia,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Malaysia,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Malaysia,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Maldives,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Maldives,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Maldives,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Maldives,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Maldives,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Maldives,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Maldives,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Maldives,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Mali,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mali,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Malta,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Malta,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Malta,Access to resources,Access is restricted,"Access to the resource within this territory is restricted, with exceptions made for certain circumstances such as imminent threat to health."
Malta,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Malta,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Malta,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Malta,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Malta,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Marshall Islands,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Marshall Islands,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Mauritania,Scope of legislation,Legislation does not cover microorganisms,"Legislation exists covering the genetic resources as they pertain to animals, plants, and aquaculture. However none exists that would cover pathogens or microbes."
Mauritania,Digital sequence information (DSI),DSI is not addressed,"Legislation exists covering the genetic resources as they pertain to animals, plants, and aquaculture. However none exists that would cover pathogens or microbes."
Mauritania,Access to resources,No ABS legislation identified,"Legislation exists covering the genetic resources as they pertain to animals, plants, and aquaculture. However none exists that would cover pathogens or microbes."
